ip,ident,user,timestamp,request,status,size
1.202.218.8,-,-,2012-06-20T19:05:12+02:00,GET /robots.txt HTTP/1.0,404,492
208.115.113.91,-,-,2012-06-20T19:20:16+02:00,GET /logs/?C=M;O=D HTTP/1.1,200,1278
123.125.71.20,-,-,2012-06-20T19:30:40+02:00,GET / HTTP/1.1,200,912
220.181.108.101,-,-,2012-06-20T19:31:01+02:00,GET / HTTP/1.1,200,912
123.125.68.79,-,-,2012-06-20T19:53:24+02:00,GET / HTTP/1.1,200,625
178.154.210.252,-,-,2012-06-20T19:54:10+02:00,GET /?C=S;O=A HTTP/1.1,200,663
74.125.126.102,-,-,2012-06-20T20:15:28+02:00,GET / HTTP/1.1,200,606
74.125.126.103,-,-,2012-06-20T20:15:29+02:00,GET /icons/blank.gif HTTP/1.1,200,383
74.125.126.93,-,-,2012-06-20T20:15:29+02:00,GET /icons/folder.gif HTTP/1.1,200,460
74.125.126.82,-,-,2012-06-20T20:15:30+02:00,GET /favicon.ico HTTP/1.1,404,449
184.82.92.239,-,-,2012-06-20T21:03:44+02:00,GET /logs/access.log HTTP/1.1,200,2519
173.236.21.106,-,-,2012-06-20T21:16:22+02:00,GET /robots.txt HTTP/1.0,404,488
173.236.21.106,-,-,2012-06-20T21:16:23+02:00,GET / HTTP/1.0,200,621
213.186.122.2,-,-,2012-06-20T21:27:53+02:00,GET /logs/?C=D;O=D HTTP/1.1,200,658
66.249.72.65,-,-,2012-06-20T21:28:00+02:00,GET /robots.txt HTTP/1.1,404,508
66.249.72.65,-,-,2012-06-20T21:28:00+02:00,GET /logs/ HTTP/1.1,200,723
123.125.71.44,-,-,2012-06-20T21:38:57+02:00,GET / HTTP/1.1,200,913
220.181.108.88,-,-,2012-06-20T21:39:48+02:00,GET / HTTP/1.1,200,913
178.154.210.252,-,-,2012-06-20T21:45:12+02:00,GET /logs/ HTTP/1.1,200,728
139.18.2.209,-,-,2012-06-20T22:31:43+02:00,GET / HTTP/1.1,200,912
123.125.71.48,-,-,2012-06-20T22:38:14+02:00,GET / HTTP/1.1,200,913
220.181.108.95,-,-,2012-06-20T22:39:03+02:00,GET / HTTP/1.1,200,913
123.125.67.218,-,-,2012-06-20T22:41:50+02:00,GET /robots.txt HTTP/1.1,404,465
180.76.6.224,-,-,2012-06-20T23:07:26+02:00,GET / HTTP/1.1,200,908
208.115.113.91,-,-,2012-06-20T23:13:59+02:00,GET /robots.txt HTTP/1.1,404,469
208.115.113.91,-,-,2012-06-20T23:54:06+02:00,GET /logs/?C=M;O=D HTTP/1.1,200,1278
123.125.71.57,-,-,2012-06-21T00:24:49+02:00,GET / HTTP/1.1,200,908
220.181.108.96,-,-,2012-06-21T00:24:53+02:00,GET / HTTP/1.1,200,908
1.202.218.8,-,-,2012-06-21T00:35:33+02:00,GET /robots.txt HTTP/1.0,404,488
220.181.108.149,-,-,2012-06-21T00:41:48+02:00,GET /icons/folder.gif HTTP/1.1,200,479
173.192.34.95,-,-,2012-06-21T00:44:32+02:00,GET /robots.txt HTTP/1.1,404,530
173.192.34.95,-,-,2012-06-21T00:44:32+02:00,GET / HTTP/1.1,200,949
173.192.34.95,-,-,2012-06-21T00:44:32+02:00,GET /?C=N;O=D HTTP/1.1,200,949
173.192.34.95,-,-,2012-06-21T00:44:32+02:00,GET /?C=M;O=A HTTP/1.1,200,949
173.192.34.95,-,-,2012-06-21T00:44:32+02:00,GET /?C=S;O=A HTTP/1.1,200,949
173.192.34.95,-,-,2012-06-21T00:44:32+02:00,GET /?C=D;O=A HTTP/1.1,200,949
173.192.34.95,-,-,2012-06-21T00:44:32+02:00,GET /logs/ HTTP/1.1,200,1338
173.192.34.95,-,-,2012-06-21T00:44:32+02:00,GET /?C=N;O=A HTTP/1.1,200,949
173.192.34.95,-,-,2012-06-21T00:44:33+02:00,GET /?C=M;O=D HTTP/1.1,200,949
173.192.34.95,-,-,2012-06-21T00:44:33+02:00,GET /?C=S;O=D HTTP/1.1,200,949
173.192.34.95,-,-,2012-06-21T00:44:33+02:00,GET /?C=D;O=D HTTP/1.1,200,949
77.75.77.11,-,-,2012-06-21T00:52:24+02:00,GET /robots.txt HTTP/1.1,404,503
77.75.77.11,-,-,2012-06-21T00:52:24+02:00,GET /logs/?C=S;O=A HTTP/1.1,200,718
77.75.77.11,-,-,2012-06-21T00:52:25+02:00,GET /logs/?C=N;O=D HTTP/1.1,200,714
77.75.77.11,-,-,2012-06-21T00:52:25+02:00,GET /logs/?C=D;O=A HTTP/1.1,200,714
77.75.77.11,-,-,2012-06-21T00:52:25+02:00,GET /logs/ HTTP/1.1,200,716
173.234.248.188,-,-,2012-06-21T01:00:46+02:00,GET /logs/access.log HTTP/1.1,200,7843
123.125.71.40,-,-,2012-06-21T01:24:50+02:00,GET / HTTP/1.1,200,912
220.181.108.75,-,-,2012-06-21T01:25:08+02:00,GET / HTTP/1.1,200,912
199.87.252.66,-,-,2012-06-21T01:54:03+02:00,GET /robots.txt HTTP/1.1,404,468
199.87.252.66,-,-,2012-06-21T01:54:03+02:00,GET /?C=D;O=A HTTP/1.1,200,625
199.87.252.66,-,-,2012-06-21T01:54:15+02:00,GET /favicon.ico HTTP/1.1,404,468
199.87.252.66,-,-,2012-06-21T02:00:55+02:00,GET / HTTP/1.1,200,625
199.87.252.66,-,-,2012-06-21T02:04:56+02:00,GET /?C=M;O=A HTTP/1.1,200,625
123.125.71.48,-,-,2012-06-21T02:32:36+02:00,GET / HTTP/1.1,200,916
220.181.108.77,-,-,2012-06-21T02:33:13+02:00,GET / HTTP/1.1,200,916
81.144.138.34,-,-,2012-06-21T02:54:26+02:00,GET /robots.txt HTTP/1.1,404,468
81.144.138.34,-,-,2012-06-21T02:54:54+02:00,GET / HTTP/1.1,200,625
81.144.138.34,-,-,2012-06-21T02:55:02+02:00,GET /?C=N;O=D HTTP/1.1,200,623
81.144.138.34,-,-,2012-06-21T02:55:14+02:00,GET /?C=M;O=A HTTP/1.1,200,625
81.144.138.34,-,-,2012-06-21T02:55:22+02:00,GET /?C=S;O=A HTTP/1.1,200,625
81.144.138.34,-,-,2012-06-21T02:55:32+02:00,GET /?C=D;O=A HTTP/1.1,200,625
81.144.138.34,-,-,2012-06-21T02:55:43+02:00,GET /logs/ HTTP/1.1,200,686
81.144.138.34,-,-,2012-06-21T02:55:52+02:00,GET /?C=N;O=A HTTP/1.1,200,625
81.144.138.34,-,-,2012-06-21T02:55:58+02:00,GET /?C=M;O=D HTTP/1.1,200,623
81.144.138.34,-,-,2012-06-21T02:56:11+02:00,GET /?C=S;O=D HTTP/1.1,200,623
81.144.138.34,-,-,2012-06-21T02:56:18+02:00,GET /?C=D;O=D HTTP/1.1,200,623
81.144.138.34,-,-,2012-06-21T02:56:30+02:00,GET /logs/?C=N;O=D HTTP/1.1,200,684
81.144.138.34,-,-,2012-06-21T02:56:43+02:00,GET /logs/?C=M;O=A HTTP/1.1,200,686
81.144.138.34,-,-,2012-06-21T02:56:55+02:00,GET /logs/?C=S;O=A HTTP/1.1,200,686
81.144.138.34,-,-,2012-06-21T02:57:02+02:00,GET /logs/?C=D;O=A HTTP/1.1,200,686
81.144.138.34,-,-,2012-06-21T02:57:15+02:00,GET /logs/access.log HTTP/1.1,200,11606
81.144.138.34,-,-,2012-06-21T02:57:22+02:00,GET /logs/error.log HTTP/1.1,200,1733
81.144.138.34,-,-,2012-06-21T02:57:34+02:00,GET /logs/?C=N;O=A HTTP/1.1,200,686
81.144.138.34,-,-,2012-06-21T02:57:40+02:00,GET /logs/?C=M;O=D HTTP/1.1,200,684
81.144.138.34,-,-,2012-06-21T02:57:47+02:00,GET /logs/?C=S;O=D HTTP/1.1,200,684
81.144.138.34,-,-,2012-06-21T02:57:59+02:00,GET /logs/?C=D;O=D HTTP/1.1,200,684
83.149.126.98,-,-,2012-06-21T03:31:39+02:00,GET /robots.txt HTTP/1.0,404,488
83.149.126.98,-,-,2012-06-21T03:31:40+02:00,GET / HTTP/1.0,200,621
123.125.71.60,-,-,2012-06-21T03:40:24+02:00,GET / HTTP/1.1,200,913
220.181.108.111,-,-,2012-06-21T03:41:04+02:00,GET / HTTP/1.1,200,913
180.76.5.190,-,-,2012-06-21T05:07:13+02:00,GET / HTTP/1.1,200,908
119.63.196.58,-,-,2012-06-21T05:15:31+02:00,GET / HTTP/1.1,200,621
1.202.218.8,-,-,2012-06-21T05:57:35+02:00,GET /robots.txt HTTP/1.0,404,492
66.249.72.65,-,-,2012-06-21T05:59:24+02:00,GET /robots.txt HTTP/1.1,404,503
66.249.72.65,-,-,2012-06-21T05:59:24+02:00,GET / HTTP/1.1,200,658
123.125.71.41,-,-,2012-06-21T06:24:13+02:00,GET / HTTP/1.1,200,908
220.181.108.92,-,-,2012-06-21T06:24:32+02:00,GET / HTTP/1.1,200,908
89.17.37.142,-,-,2012-06-21T07:32:00+02:00,GET /logs/access.log HTTP/1.1,200,14186
89.17.37.142,-,-,2012-06-21T07:32:01+02:00,GET /favicon.ico HTTP/1.1,404,526
89.17.37.142,-,-,2012-06-21T07:32:04+02:00,GET /crossdomain.xml HTTP/1.1,404,530
123.125.71.22,-,-,2012-06-21T07:32:38+02:00,GET / HTTP/1.1,200,916
220.181.108.87,-,-,2012-06-21T07:33:14+02:00,GET / HTTP/1.1,200,916
196.202.155.22,-,-,2012-06-21T07:34:07+02:00,GET /logs/access.log HTTP/1.1,200,15363
196.202.155.22,-,-,2012-06-21T07:34:08+02:00,GET /favicon.ico HTTP/1.1,404,526
66.249.72.250,-,-,2012-06-21T07:48:40+02:00,GET /robots.txt HTTP/1.1,404,506
72.14.199.244,-,-,2012-06-21T07:48:40+02:00,GET / HTTP/1.1,200,663
1.202.218.8,-,-,2012-06-21T08:14:02+02:00,GET /robots.txt HTTP/1.0,404,488
119.63.196.84,-,-,2012-06-21T08:38:18+02:00,GET /robots.txt HTTP/1.1,404,465
95.91.59.50,-,-,2012-06-21T08:48:13+02:00,GET /robots.txt HTTP/1.1,404,492
66.219.58.38,-,-,2012-06-21T09:21:09+02:00,GET /robots.txt HTTP/1.1,404,465
66.219.58.38,-,-,2012-06-21T09:21:09+02:00,GET / HTTP/1.1,200,621
66.219.58.38,-,-,2012-06-21T09:34:03+02:00,GET /logs/ HTTP/1.1,200,680
66.219.58.38,-,-,2012-06-21T09:43:52+02:00,GET /logs/error.log HTTP/1.1,200,3115
173.236.21.106,-,-,2012-06-21T09:46:08+02:00,GET /robots.txt HTTP/1.0,404,488
173.236.21.106,-,-,2012-06-21T09:46:10+02:00,GET / HTTP/1.0,200,621
1.202.218.8,-,-,2012-06-21T09:46:10+02:00,GET /robots.txt HTTP/1.0,404,492
66.219.58.38,-,-,2012-06-21T09:51:16+02:00,GET /logs/access.log HTTP/1.1,200,13140
178.154.210.252,-,-,2012-06-21T09:55:43+02:00,GET /robots.txt HTTP/1.1,404,530
109.67.210.45,-,-,2012-06-21T09:58:28+02:00,GET / HTTP/1.1,200,659
109.67.210.45,-,-,2012-06-21T09:58:29+02:00,GET /icons/blank.gif HTTP/1.1,200,439
109.67.210.45,-,-,2012-06-21T09:58:29+02:00,GET /icons/folder.gif HTTP/1.1,200,517
109.67.210.45,-,-,2012-06-21T09:58:29+02:00,GET /favicon.ico HTTP/1.1,404,502
109.67.210.45,-,-,2012-06-21T09:58:30+02:00,GET /logs/ HTTP/1.1,200,716
109.67.210.45,-,-,2012-06-21T09:58:30+02:00,GET /icons/back.gif HTTP/1.1,200,507
109.67.210.45,-,-,2012-06-21T09:58:30+02:00,GET /icons/unknown.gif HTTP/1.1,200,536
109.67.210.45,-,-,2012-06-21T09:58:30+02:00,GET /favicon.ico HTTP/1.1,404,502
123.125.71.91,-,-,2012-06-21T10:29:56+02:00,GET /?C=S;O=A HTTP/1.1,200,621
123.125.71.59,-,-,2012-06-21T10:33:36+02:00,GET / HTTP/1.1,200,913
220.181.108.89,-,-,2012-06-21T10:34:16+02:00,GET / HTTP/1.1,200,913
66.249.72.65,-,-,2012-06-21T10:59:14+02:00,GET /robots.txt HTTP/1.1,404,503
66.249.72.65,-,-,2012-06-21T10:59:14+02:00,GET /logs/error.log HTTP/1.1,200,3856
180.76.5.175,-,-,2012-06-21T11:07:44+02:00,GET / HTTP/1.1,200,908
213.186.127.4,-,-,2012-06-21T11:22:36+02:00,GET /?C=D;O=A HTTP/1.1,200,602
1.202.218.8,-,-,2012-06-21T11:38:32+02:00,GET /robots.txt HTTP/1.0,404,488
180.76.5.89,-,-,2012-06-21T11:52:39+02:00,GET /robots.txt HTTP/1.1,404,468
180.76.5.189,-,-,2012-06-21T11:52:39+02:00,GET /robots.txt HTTP/1.1,404,465
180.76.5.52,-,-,2012-06-21T11:52:39+02:00,GET /robots.txt HTTP/1.1,404,470
178.154.210.252,-,-,2012-06-21T12:04:07+02:00,GET / HTTP/1.1,200,663
220.181.108.86,-,-,2012-06-21T12:41:03+02:00,GET /icons/blank.gif HTTP/1.1,200,402
123.125.71.34,-,-,2012-06-21T12:44:58+02:00,GET /icons/blank.gif HTTP/1.1,200,402
1.202.218.8,-,-,2012-06-21T13:22:26+02:00,GET /robots.txt HTTP/1.0,404,492
123.125.71.51,-,-,2012-06-21T13:26:02+02:00,GET / HTTP/1.1,200,912
220.181.108.89,-,-,2012-06-21T13:26:20+02:00,GET / HTTP/1.1,200,912
173.236.21.106,-,-,2012-06-21T13:42:25+02:00,GET /robots.txt HTTP/1.0,404,488
173.236.21.106,-,-,2012-06-21T13:42:26+02:00,GET / HTTP/1.0,200,621
95.108.150.235,-,-,2012-06-21T14:20:24+02:00,GET /robots.txt HTTP/1.1,404,526
95.108.150.235,-,-,2012-06-21T14:20:24+02:00,GET /robots.txt HTTP/1.1,404,530
95.108.150.235,-,-,2012-06-21T14:20:25+02:00,GET / HTTP/1.1,200,658
95.108.150.235,-,-,2012-06-21T14:20:25+02:00,GET / HTTP/1.1,200,662
95.108.150.235,-,-,2012-06-21T14:20:26+02:00,GET / HTTP/1.1,200,658
95.108.150.235,-,-,2012-06-21T14:20:26+02:00,GET / HTTP/1.1,200,662
95.108.150.235,-,-,2012-06-21T14:20:26+02:00,GET /robots.txt HTTP/1.1,404,530
95.108.150.235,-,-,2012-06-21T14:20:27+02:00,GET /robots.txt HTTP/1.1,404,533
95.108.150.235,-,-,2012-06-21T14:20:27+02:00,GET / HTTP/1.1,200,662
95.108.150.235,-,-,2012-06-21T14:20:28+02:00,GET / HTTP/1.1,200,664
95.108.150.235,-,-,2012-06-21T14:20:28+02:00,GET / HTTP/1.1,200,662
95.108.150.235,-,-,2012-06-21T14:20:29+02:00,GET / HTTP/1.1,200,664
95.108.150.235,-,-,2012-06-21T14:20:29+02:00,GET /robots.txt HTTP/1.1,404,534
95.108.150.235,-,-,2012-06-21T14:20:29+02:00,GET /robots.txt HTTP/1.1,404,537
95.108.150.235,-,-,2012-06-21T14:20:30+02:00,GET / HTTP/1.1,200,666
95.108.150.235,-,-,2012-06-21T14:20:30+02:00,GET / HTTP/1.1,200,667
95.108.150.235,-,-,2012-06-21T14:20:31+02:00,GET / HTTP/1.1,200,666
95.108.150.235,-,-,2012-06-21T14:20:31+02:00,GET / HTTP/1.1,200,667
